,Film,Month,Monthly_Cume_Gross,Monthly_Gross,Monthly_Gross_Mil,Studio
0,Kramer vs. Kramer,1.0,74963412.0,12019000.0,12.0,Columbia
0,Absence of Malice,1.0,72286812.0,20176836.0,20.0,Columbia
0,Neighbors,1.0,133481028.0,9920990.0,9.0,Columbia
0,Kramer vs. Kramer,2.0,275282618.0,22778000.0,22.0,Columbia
0,Absence of Malice,2.0,93078495.0,6736557.0,6.0,Columbia
0,Neighbors,2.0,59108132.0,996647.0,0.0,Columbia
0,Kramer vs. Kramer,3.0,286846618.0,13492794.0,13.0,Columbia
0,Absence of Malice,3.0,81082504.0,2564029.0,2.0,Columbia
0,Kramer vs. Kramer,4.0,343053412.0,14800000.0,14.0,Columbia
0,Kramer vs. Kramer,5.0,288448289.0,6682763.0,6.0,Columbia
0,Happy Birthday To Me,5.0,10609514.0,2547306.0,2.0,Columbia
0,Cheech & Chong's Nice Dreams,6.0,43725850.0,46835850.0,46.0,Columbia
0,Stripes,6.0,10871288.0,10871288.0,10.0,Columbia
0,Stripes,7.0,184643145.0,40155920.0,40.0,Columbia
0,Cheech & Chong's Nice Dreams,7.0,63500556.0,1726731.0,1.0,Columbia
0,When Harry Met Sallyâ¦,7.0,44683088.0,26101377.0,26.0,Columbia
0,Cheech & Chong's Nice Dreams,8.0,33982504.0,614949.0,0.0,Columbia
0,Stripes,8.0,249488202.0,17614787.0,17.0,Columbia
0,When Harry Met Sallyâ¦,8.0,208095308.0,34281117.0,34.0,Columbia
0,Stripes,9.0,302875424.0,10187249.0,10.0,Columbia
0,Only When I Laugh,9.0,5353340.0,5250941.0,5.0,Columbia
0,When Harry Met Sallyâ¦,9.0,377405895.0,18718311.0,18.0,Columbia
0,Close Encounters of the Thi…,9.0,506714953.0,3100479.0,3.0,Columbia
0,Only When I Laugh,10.0,41515232.0,9253031.0,9.0,Columbia
0,When Harry Met Sallyâ¦,10.0,169472934.0,4191050.0,4.0,Columbia
0,Only When I Laugh,11.0,92482649.0,5993305.0,5.0,Columbia
0,Absence of Malice,11.0,462255.0,322703.0,0.0,Columbia
