,Month,Studio,avg_Monthly_cume_Gross,avg_Monthly_gross
0,5,Universal,688195142.737,71852438.0
0,6,Universal,717622534.921,87431544.6184
0,7,Universal,819932905.796,96282696.3717
0,8,Universal,924225541.073,92055004.2667
0,9,Universal,970322546.731,81245071.4355
0,10,Universal,970728877.865,75687721.027
0,11,Universal,941423935.914,72498861.4047
0,12,Universal,907356579.126,71355556.6485
0,1,Universal,888272483.979,70610389.5671
0,2,Universal,869475081.019,68982927.3829
0,3,Universal,857542038.312,66853221.2538
0,4,Universal,845613673.143,66799160.265
0,6,20th Century Fox,868974108.051,69113477.2537
0,7,20th Century Fox,908548821.228,71498304.5244
0,8,20th Century Fox,951062581.966,70182272.4964
0,10,20th Century Fox,963631758.054,68403122.0763
0,11,20th Century Fox,961774740.126,67276751.504
0,12,20th Century Fox,952195197.622,68433129.281
0,1,20th Century Fox,959002402.126,68613899.6981
0,3,20th Century Fox,973888904.352,67944697.2531
0,4,20th Century Fox,988091605.769,67145286.9234
0,5,20th Century Fox,998735129.984,67891815.7839
0,9,20th Century Fox,1015669404.1,66101116.2755
0,2,20th Century Fox,1018991052.46,65908956.0911
0,12,MGM,997746937.986,64707774.571
0,6,MGM,975253876.178,63425618.0032
0,7,MGM,958713200.828,62550203.0653
0,8,MGM,942582923.943,61636058.6148
0,10,MGM,923522770.675,60371510.4534
0,2,MGM,910108846.102,59501004.444
0,3,MGM,894387134.808,58586158.7015
0,4,MGM,880365415.659,57688842.8207
0,5,MGM,864683812.945,56506600.5023
0,9,MGM,852757075.458,55777600.0881
0,11,MGM,840660534.03,55187607.0977
0,1,MGM,830836293.627,54459873.6258
0,12,Warner Bros.,846085338.03,56338831.7013
0,5,Warner Bros.,851340926.395,57035363.5924
0,6,Warner Bros.,857442514.537,58994369.8514
0,7,Warner Bros.,871583770.806,61540418.2696
0,8,Warner Bros.,894846995.348,62548433.5239
0,9,Warner Bros.,914258900.421,62446060.4396
0,10,Warner Bros.,929342377.796,62500020.9717
0,11,Warner Bros.,937749101.847,63227546.9059
0,1,Warner Bros.,946276198.408,63400677.8637
0,2,Warner Bros.,952876652.837,63465330.2088
0,3,Warner Bros.,962703999.185,63949309.2743
0,4,Warner Bros.,967679703.12,63743681.9471
0,8,American Internatio…,967079435.557,63711927.605
0,12,Paramount Pictures,961673732.266,64221887.2372
0,6,Paramount Pictures,963015777.604,65188140.0745
0,7,Paramount Pictures,970665519.454,65745163.3574
0,8,Paramount Pictures,977525456.85,65593964.1906
0,9,Paramount Pictures,981060367.937,64843946.511
0,10,Paramount Pictures,976081427.468,64470127.0503
0,11,Paramount Pictures,968778511.744,64464813.4152
0,1,Paramount Pictures,968026986.521,64584037.7207
0,2,Paramount Pictures,966519371.735,64273825.6846
0,3,Paramount Pictures,965959692.06,64107288.1461
0,4,Paramount Pictures,964902576.327,63817789.0892
0,5,Paramount Pictures,963994704.425,64350920.7669
0,1,Columbia,963180439.394,64308120.4627
0,2,Columbia,962440245.995,64259673.5309
0,3,Columbia,961672139.744,64204191.2792
0,4,Columbia,961367100.924,64179830.2382
0,5,Columbia,960567260.333,64121145.7103
0,6,Columbia,960121189.372,64117987.6563
0,7,Columbia,959320689.819,64088350.6926
0,8,Columbia,958619424.284,64051168.4575
0,9,Columbia,957793365.078,63975164.2743
0,10,Columbia,956957777.547,63919033.7608
0,11,Columbia,956534449.338,63890810.8182
0,11,United Artists,955180129.96,63815053.567
0,12,United Artists,952918718.755,63683765.0532
0,7,United Artists,951528880.451,63592165.7022
0,9,United Artists,950166285.127,63505553.4019
0,2,United Artists,948050802.694,63352667.4578
0,4,United Artists,946762036.63,63265777.6767
0,8,United Artists,945392049.316,63177658.4409
0,5,United Artists,944488804.166,63123633.7592
0,6,United Artists,943609218.769,63067909.7261
0,1,United Artists,942015062.297,62963823.2001
0,3,United Artists,941268231.059,62903331.6276
0,10,United Artists,940815595.988,62873046.8252
0,7,Walt Disney,954631116.486,63758296.641
0,1,Walt Disney,965489350.634,63837716.9204
0,2,Walt Disney,972324146.965,63606180.4199
0,8,Walt Disney,987578140.35,63888008.0991
0,9,Walt Disney,999755976.535,63474084.3458
0,11,Walt Disney,1007773826.39,64180370.1233
0,3,Walt Disney,1016615085.33,64600198.5149
0,4,Walt Disney,1024650244.02,64506013.773
