,Month,Studio,avg_Monthly_cume_Gross,avg_Monthly_gross,Total_gross_mil
0,7,Walt Disney,954631116.486,63758296.641,63.758296641
0,1,Walt Disney,965489350.634,63837716.9204,63.8377169204
0,2,Walt Disney,972324146.965,63606180.4199,63.6061804199
0,8,Walt Disney,987578140.35,63888008.0991,63.8880080991
0,9,Walt Disney,999755976.535,63474084.3458,63.4740843458
0,11,Walt Disney,1007773826.39,64180370.1233,64.1803701233
0,3,Walt Disney,1016615085.33,64600198.5149,64.6001985149
0,4,Walt Disney,1024650244.02,64506013.773,64.506013773
0,5,Walt Disney,1031032720.1,65363418.3538,65.3634183538
0,10,Walt Disney,1037897924.19,65073189.4093,65.0731894093
0,12,Walt Disney,1045905169.41,66069458.1309,66.0694581309
0,6,Walt Disney,1053349555.6,67094255.6374,67.0942556374
0,12,Warner Bros.,846085338.03,56338831.7013,56.3388317013
0,5,Warner Bros.,851340926.395,57035363.5924,57.0353635924
0,6,Warner Bros.,857442514.537,58994369.8514,58.9943698514
0,7,Warner Bros.,871583770.806,61540418.2696,61.5404182696
0,8,Warner Bros.,894846995.348,62548433.5239,62.5484335239
0,9,Warner Bros.,914258900.421,62446060.4396,62.4460604396
0,10,Warner Bros.,929342377.796,62500020.9717,62.5000209717
0,11,Warner Bros.,937749101.847,63227546.9059,63.2275469059
0,1,Warner Bros.,946276198.408,63400677.8637,63.4006778637
0,2,Warner Bros.,952876652.837,63465330.2088,63.4653302088
0,3,Warner Bros.,962703999.185,63949309.2743,63.9493092743
0,4,Warner Bros.,967679703.12,63743681.9471,63.7436819471
0,6,20th Century Fox,868974108.051,69113477.2537,69.1134772537
0,7,20th Century Fox,908548821.228,71498304.5244,71.4983045244
0,8,20th Century Fox,951062581.966,70182272.4964,70.1822724964
0,10,20th Century Fox,963631758.054,68403122.0763,68.4031220763
0,11,20th Century Fox,961774740.126,67276751.504,67.276751504
0,12,20th Century Fox,952195197.622,68433129.281,68.433129281
0,1,20th Century Fox,959002402.126,68613899.6981,68.6138996981
0,3,20th Century Fox,973888904.352,67944697.2531,67.9446972531
0,4,20th Century Fox,988091605.769,67145286.9234,67.1452869234
0,5,20th Century Fox,998735129.984,67891815.7839,67.8918157839
0,9,20th Century Fox,1015669404.1,66101116.2755,66.1011162755
0,2,20th Century Fox,1018991052.46,65908956.0911,65.9089560911
0,5,Universal,688195142.737,71852438.0,71.852438
0,6,Universal,717622534.921,87431544.6184,87.4315446184
0,7,Universal,819932905.796,96282696.3717,96.2826963717
0,8,Universal,924225541.073,92055004.2667,92.0550042667
0,9,Universal,970322546.731,81245071.4355,81.2450714355
0,10,Universal,970728877.865,75687721.027,75.687721027
0,11,Universal,941423935.914,72498861.4047,72.4988614047
0,12,Universal,907356579.126,71355556.6485,71.3555566485
0,1,Universal,888272483.979,70610389.5671,70.6103895671
0,2,Universal,869475081.019,68982927.3829,68.9829273829
0,3,Universal,857542038.312,66853221.2538,66.8532212538
0,4,Universal,845613673.143,66799160.265,66.799160265
0,8,Sony Pictures,1049835865.44,67111514.0059,67.1115140059
0,2,Sony Pictures,1045816967.94,67079867.422,67.079867422
0,3,Sony Pictures,1040849903.85,66807997.4929,66.8079974929
0,4,Sony Pictures,1034847992.34,66560892.1589,66.5608921589
0,5,Sony Pictures,1030237928.93,66678931.7179,66.6789317179
0,6,Sony Pictures,1025686824.63,66864050.7679,66.8640507679
0,7,Sony Pictures,1024883816.1,67546712.7582,67.5467127582
0,9,Sony Pictures,1025665601.0,67469751.0817,67.4697510817
0,10,Sony Pictures,1024933953.87,67441488.6375,67.4414886375
0,11,Sony Pictures,1021548187.29,67442526.4895,67.4425264895
0,12,Sony Pictures,1017626485.0,67441986.1223,67.4419861223
0,1,Sony Pictures,1015651015.39,67454620.1489,67.4546201489
0,12,Paramount Pictures,961673732.266,64221887.2372,64.2218872372
0,6,Paramount Pictures,963015777.604,65188140.0745,65.1881400745
0,7,Paramount Pictures,970665519.454,65745163.3574,65.7451633574
0,8,Paramount Pictures,977525456.85,65593964.1906,65.5939641906
0,9,Paramount Pictures,981060367.937,64843946.511,64.843946511
0,10,Paramount Pictures,976081427.468,64470127.0503,64.4701270503
0,11,Paramount Pictures,968778511.744,64464813.4152,64.4648134152
0,1,Paramount Pictures,968026986.521,64584037.7207,64.5840377207
0,2,Paramount Pictures,966519371.735,64273825.6846,64.2738256846
0,3,Paramount Pictures,965959692.06,64107288.1461,64.1072881461
0,4,Paramount Pictures,964902576.327,63817789.0892,63.8177890892
0,5,Paramount Pictures,963994704.425,64350920.7669,64.3509207669
0,6,Lionsgate,557970058.797,37181686.2982,37.1816862982
0,7,Lionsgate,557073493.896,37118338.3344,37.1183383344
0,3,Lionsgate,556620712.368,37165716.6177,37.1657166177
0,4,Lionsgate,555996589.716,37163093.1619,37.1630931619
0,5,Lionsgate,555334042.283,37087029.6818,37.0870296818
0,8,Lionsgate,554507918.669,37062635.4069,37.0626354069
0,10,Lionsgate,553547688.895,37076926.0535,37.0769260535
0,11,Lionsgate,553012531.665,37203699.0787,37.2036990787
0,1,Lionsgate,552717923.534,37173304.4768,37.1733044768
0,9,Lionsgate,551909508.592,37163969.6333,37.1639696333
0,12,Lionsgate,551618564.682,37124971.9366,37.1249719366
0,2,Lionsgate,551381073.169,37109218.0557,37.1092180557
0,8,STX Entertainment,243601582.954,16126698.9149,16.1266989149
0,9,STX Entertainment,243608790.947,16124982.4762,16.1249824762
0,10,STX Entertainment,243591308.438,16124252.0938,16.1242520938
0,11,STX Entertainment,243562401.777,16123887.9203,16.1238879203
0,12,STX Entertainment,243540158.273,16122302.1395,16.1223021395
0,1,STX Entertainment,243517106.895,16123136.5911,16.1231365911
0,2,STX Entertainment,243498304.492,16122343.5041,16.1223435041
0,3,STX Entertainment,243491664.233,16121356.6125,16.1213566125
0,4,STX Entertainment,243462946.643,16120747.4657,16.1207474657
0,5,STX Entertainment,243437483.444,16119298.4125,16.1192984125
0,6,STX Entertainment,243408304.91,16117923.5835,16.1179235835
0,7,STX Entertainment,243387758.159,16121079.7743,16.1210797743
0,4,Focus Features,423933082.813,27957519.3938,27.9575193938
0,5,Focus Features,423386566.741,27915314.7358,27.9153147358
0,6,Focus Features,422786151.751,27880979.6347,27.8809796347
0,7,Focus Features,422149986.909,27843090.3497,27.8430903497
0,8,Focus Features,421414630.244,27812648.4908,27.8126484908
0,10,Focus Features,420820520.456,27767618.5139,27.7676185139
0,11,Focus Features,420292909.645,27731866.6601,27.7318666601
0,12,Focus Features,419685321.359,27694938.6609,27.6949386609
0,1,Focus Features,419104795.734,27662823.246,27.662823246
0,2,Focus Features,418658589.598,27640920.9294,27.6409209294
0,3,Focus Features,418247136.951,27616141.2746,27.6161412746
0,9,Focus Features,417671582.795,27598934.2181,27.5989342181
0,9,Open Road,260831108.233,17230020.2647,17.2300202647
0,10,Open Road,260739381.301,17226083.6114,17.2260836114
0,11,Open Road,260672723.466,17225085.3627,17.2250853627
0,1,Open Road,260624671.865,17228657.9929,17.2286579929
0,2,Open Road,260590224.892,17227620.0208,17.2276200208
0,3,Open Road,260558416.15,17225448.4014,17.2254484014
0,4,Open Road,260525109.853,17223152.6417,17.2231526417
0,5,Open Road,260454555.728,17218381.3754,17.2183813754
0,8,Open Road,260368512.966,17214983.9284,17.2149839284
0,12,Open Road,260325065.185,17211882.1922,17.2118821922
0,6,Open Road,260282891.592,17210075.4083,17.2100754083
