,Film,Month,Monthly_Cume_Gross,Monthly_Gross,Studio
0,Raging Bull,11,1250912,614966,United Artists
0,Child's Play,11,50031099,21546411,United Artists
0,Lions for Lambs,11,50092528,14663234,United Artists
0,Raging Bull,12,1620735,248852,United Artists
0,Child's Play,12,25766014,2800725,United Artists
0,Nicholas Nickleby,12,92333,92333,United Artists
0,Lions for Lambs,12,59647704,274861,United Artists
0,Valkyrie,12,55142304,46648332,United Artists
0,Eye of the Needle,7,2800000,2800000,United Artists
0,Together,7,3991202,272672,United Artists
0,City Lights,7,16755,16755,United Artists
0,The French Lieutenant's Woman,9,199310,199310,United Artists
0,Betrayed,9,51984960,12577854,United Artists
0,Together,9,2268980,11056,United Artists
0,The Beast Within,2,1400000,1400000,United Artists
0,La cage aux folles 3 - 'Ell…,2,235236,235236,United Artists
0,Raging Bull,2,46754224,20770,United Artists
0,Lions for Lambs,2,14998070,2905,United Artists
0,Valkyrie,2,329550085,923811,United Artists
0,"Bright Lights, Big City",4,17710687,10797649,United Artists
0,Nicholas Nickleby,4,1562800,795,United Artists
0,Valkyrie,4,166154530,5940,United Artists
0,Betrayed,8,7714939,7714939,United Artists
0,Together,8,2159216,26643,United Artists
0,City Lights,8,18165,1410,United Artists
0,Road House,5,22777897,14537044,United Artists
0,Together,5,95231,95231,United Artists
0,Road House,6,66046881,10207241,United Artists
0,Together,6,2188955,691278,United Artists
0,Nicholas Nickleby,1,4112531,1148953,United Artists
0,Raging Bull,1,23359433,24480,United Artists
0,Lions for Lambs,1,59856299,59017,United Artists
0,Valkyrie,1,380828090,35163734,United Artists
0,Nicholas Nickleby,3,1550119,12169,United Artists
0,Valkyrie,3,332058355,334973,United Artists
0,Together,10,1145190,1797,United Artists
