,Month,Studio,avg_Monthly_cume_Gross,avg_Monthly_gross,Total_gross_mil
0,5,Universal,688195142.737,71852438.0,71.852438
0,6,Universal,717622534.921,87431544.6184,87.4315446184
0,7,Universal,819932905.796,96282696.3717,96.2826963717
0,8,Universal,924225541.073,92055004.2667,92.0550042667
0,9,Universal,970322546.731,81245071.4355,81.2450714355
0,10,Universal,970728877.865,75687721.027,75.687721027
0,11,Universal,941423935.914,72498861.4047,72.4988614047
0,12,Universal,907356579.126,71355556.6485,71.3555566485
0,1,Universal,888272483.979,70610389.5671,70.6103895671
0,2,Universal,869475081.019,68982927.3829,68.9829273829
0,3,Universal,857542038.312,66853221.2538,66.8532212538
0,4,Universal,845613673.143,66799160.265,66.799160265
0,6,20th Century Fox,868974108.051,69113477.2537,69.1134772537
0,7,20th Century Fox,908548821.228,71498304.5244,71.4983045244
0,8,20th Century Fox,951062581.966,70182272.4964,70.1822724964
0,10,20th Century Fox,963631758.054,68403122.0763,68.4031220763
0,11,20th Century Fox,961774740.126,67276751.504,67.276751504
0,12,20th Century Fox,952195197.622,68433129.281,68.433129281
0,1,20th Century Fox,959002402.126,68613899.6981,68.6138996981
0,3,20th Century Fox,973888904.352,67944697.2531,67.9446972531
0,4,20th Century Fox,988091605.769,67145286.9234,67.1452869234
0,5,20th Century Fox,998735129.984,67891815.7839,67.8918157839
0,9,20th Century Fox,1015669404.1,66101116.2755,66.1011162755
0,2,20th Century Fox,1018991052.46,65908956.0911,65.9089560911
0,8,Sony Pictures,1049835865.44,67111514.0059,67.1115140059
0,2,Sony Pictures,1045816967.94,67079867.422,67.079867422
0,3,Sony Pictures,1040849903.85,66807997.4929,66.8079974929
0,4,Sony Pictures,1034847992.34,66560892.1589,66.5608921589
0,5,Sony Pictures,1030237928.93,66678931.7179,66.6789317179
0,6,Sony Pictures,1025686824.63,66864050.7679,66.8640507679
0,7,Sony Pictures,1024883816.1,67546712.7582,67.5467127582
0,9,Sony Pictures,1025665601.0,67469751.0817,67.4697510817
0,10,Sony Pictures,1024933953.87,67441488.6375,67.4414886375
0,11,Sony Pictures,1021548187.29,67442526.4895,67.4425264895
0,12,Sony Pictures,1017626485.0,67441986.1223,67.4419861223
0,1,Sony Pictures,1015651015.39,67454620.1489,67.4546201489
0,7,Orion Pictures,1006067705.28,66874943.1759,66.8749431759
0,8,Orion Pictures,1002249202.2,66642829.6207,66.6428296207
0,9,Orion Pictures,999494912.188,66463003.5406,66.4630035406
0,10,Orion Pictures,996904860.535,66302907.2699,66.3029072699
0,11,Orion Pictures,993743420.817,66122206.7657,66.1222067657
0,12,Orion Pictures,991000013.637,65979873.8869,65.9798738869
0,1,Orion Pictures,989115415.511,65875352.498,65.875352498
0,4,Orion Pictures,985477596.857,65645134.595,65.645134595
0,5,Orion Pictures,983007362.237,65471750.2646,65.4717502646
0,6,Orion Pictures,979494814.829,65263290.5862,65.2632905862
0,2,Orion Pictures,977292144.127,65153955.9758,65.1539559758
0,3,Orion Pictures,974431744.473,64983949.5688,64.9839495688
0,7,Embassy,973799083.993,64942784.1829,64.9427841829
0,8,Embassy,973173247.365,64903003.5505,64.9030035505
0,9,Embassy,972237503.448,64841981.3824,64.8419813824
0,2,Embassy,971607694.764,64800853.9167,64.8008539167
0,6,Embassy,971291888.426,64779827.3758,64.7798273758
0,10,Embassy,970673691.299,64738900.9399,64.7389009399
0,11,Embassy,970366865.282,64718108.8441,64.7181088441
0,12,Embassy,970058605.266,64697152.8133,64.6971528133
0,4,Embassy,969450337.921,64656029.6288,64.6560296288
0,3,Embassy,969152393.586,64639754.7914,64.6397547914
0,5,Embassy,968866809.999,64619135.2915,64.6191352915
0,1,Embassy,968553138.423,64598574.7938,64.5985747938
0,12,Paramount Pictures,961673732.266,64221887.2372,64.2218872372
0,6,Paramount Pictures,963015777.604,65188140.0745,65.1881400745
0,7,Paramount Pictures,970665519.454,65745163.3574,65.7451633574
0,8,Paramount Pictures,977525456.85,65593964.1906,65.5939641906
0,9,Paramount Pictures,981060367.937,64843946.511,64.843946511
0,10,Paramount Pictures,976081427.468,64470127.0503,64.4701270503
0,11,Paramount Pictures,968778511.744,64464813.4152,64.4648134152
0,1,Paramount Pictures,968026986.521,64584037.7207,64.5840377207
0,2,Paramount Pictures,966519371.735,64273825.6846,64.2738256846
0,3,Paramount Pictures,965959692.06,64107288.1461,64.1072881461
0,4,Paramount Pictures,964902576.327,63817789.0892,63.8177890892
0,5,Paramount Pictures,963994704.425,64350920.7669,64.3509207669
0,7,Walt Disney,954631116.486,63758296.641,63.758296641
0,1,Walt Disney,965489350.634,63837716.9204,63.8377169204
0,2,Walt Disney,972324146.965,63606180.4199,63.6061804199
0,8,Walt Disney,987578140.35,63888008.0991,63.8880080991
0,9,Walt Disney,999755976.535,63474084.3458,63.4740843458
0,11,Walt Disney,1007773826.39,64180370.1233,64.1803701233
0,3,Walt Disney,1016615085.33,64600198.5149,64.6001985149
0,4,Walt Disney,1024650244.02,64506013.773,64.506013773
0,5,Walt Disney,1031032720.1,65363418.3538,65.3634183538
0,10,Walt Disney,1037897924.19,65073189.4093,65.0731894093
0,12,Walt Disney,1045905169.41,66069458.1309,66.0694581309
0,6,Walt Disney,1053349555.6,67094255.6374,67.0942556374
0,9,Cannon,963141081.399,64255311.6033,64.2553116033
0,10,Cannon,961935342.368,64177796.3334,64.1777963334
0,3,Cannon,961023938.542,64121818.3945,64.1218183945
0,4,Cannon,959494436.0,64025466.2003,64.0254662003
0,8,Cannon,958274394.155,63951508.0109,63.9515080109
0,5,Cannon,957089194.509,63890902.488,63.890902488
0,6,Cannon,956565332.632,63858494.8867,63.8584948867
0,7,Cannon,956293165.363,63838784.8484,63.8387848484
0,11,Cannon,955420297.095,63795026.8568,63.7950268568
0,12,Cannon,954864798.239,63759396.3903,63.7593963903
0,1,Cannon,953980098.466,63703754.9205,63.7037549205
